CMDLINE C:\Users\maugh24\AppData\Local\miniconda3\envs\Hydroinformatics\python.exe .\Run_Model.py
MEM 2928.292969 1774901853.7686
MEM 2928.292969 1774901853.8690
MEM 2928.292969 1774901853.9695
MEM 2928.292969 1774901854.0698
MEM 2928.292969 1774901854.1704
MEM 2928.292969 1774901854.2708
MEM 2533.273438 1774901854.3715
MEM 2928.292969 1774901854.4719
MEM 2928.292969 1774901854.5723
MEM 1629.078125 1774901854.6730
MEM 2022.652344 1774901854.7734
MEM 2325.339844 1774901854.8741
MEM 1936.718750 1774901854.9747
MEM 1937.371094 1774901855.0755
MEM 2423.375000 1774901855.1760
MEM 2878.218750 1774901855.2766
MEM 2920.140625 1774901855.3771
MEM 2920.191406 1774901855.4774
MEM 2445.308594 1774901855.5777
MEM 2586.089844 1774901855.6783
MEM 2738.265625 1774901855.7790
MEM 2893.542969 1774901855.8796
MEM 3069.593750 1774901855.9802
MEM 3233.976562 1774901856.0803
MEM 3387.441406 1774901856.1810
MEM 3618.980469 1774901856.2814
MEM 3918.433594 1774901856.3818
MEM 4122.406250 1774901856.4822
MEM 4412.843750 1774901856.5825
MEM 4771.765625 1774901856.6830
MEM 4207.117188 1774901856.7838
MEM 4437.804688 1774901856.8845
MEM 4437.804688 1774901856.9862
MEM 4437.804688 1774901857.0866
MEM 4437.804688 1774901857.1872
MEM 4437.804688 1774901857.2877
MEM 4437.804688 1774901857.3882
MEM 4437.804688 1774901857.4885
MEM 4437.804688 1774901857.5889
MEM 4437.804688 1774901857.6894
MEM 4437.804688 1774901857.7898
MEM 4437.804688 1774901857.8900
MEM 4437.804688 1774901857.9904
MEM 3987.066406 1774901858.0906
MEM 4437.804688 1774901858.1914
MEM 4437.804688 1774901858.2920
MEM 3571.476562 1774901858.3926
MEM 2908.828125 1774901858.4929
MEM 2682.460938 1774901858.5933
MEM 2982.460938 1774901858.6935
MEM 2506.289062 1774901858.8148
MEM 2616.402344 1774901858.9152
MEM 3025.550781 1774901859.0154
MEM 3453.875000 1774901859.1160
MEM 3453.875000 1774901859.2163
MEM 3038.074219 1774901859.3165
MEM 3195.632812 1774901859.4170
MEM 3362.355469 1774901859.5175
MEM 3521.394531 1774901859.6179
MEM 3682.550781 1774901859.7185
MEM 3851.214844 1774901859.8190
MEM 3996.652344 1774901859.9196
MEM 4294.289062 1774901860.0202
MEM 4499.738281 1774901860.1208
MEM 4801.488281 1774901860.2212
MEM 5204.746094 1774901860.3215
MEM 4563.070312 1774901860.4216
MEM 4944.011719 1774901860.5223
MEM 4944.011719 1774901860.6226
MEM 4944.011719 1774901860.7232
MEM 4944.011719 1774901860.8236
MEM 4944.011719 1774901860.9241
MEM 4944.011719 1774901861.0246
MEM 4944.011719 1774901861.1248
MEM 4944.011719 1774901861.2255
MEM 4944.011719 1774901861.3256
MEM 4944.011719 1774901861.4262
MEM 4944.011719 1774901861.5267
MEM 4944.011719 1774901861.6272
MEM 4944.011719 1774901861.7275
MEM 4944.011719 1774901861.8278
MEM 4944.011719 1774901861.9283
MEM 4367.671875 1774901862.0286
MEM 3327.664062 1774901862.1294
MEM 3104.179688 1774901862.2298
MEM 3401.179688 1774901862.3305
MEM 2422.230469 1774901862.4307
MEM 2011.250000 1774901862.5311
MEM 2531.894531 1774901862.6315
MEM 2349.085938 1774901862.7317
MEM 2465.988281 1774901862.8321
MEM 2624.597656 1774901862.9326
MEM 2788.367188 1774901863.0328
MEM 2930.152344 1774901863.1331
MEM 3201.171875 1774901863.2341
MEM 3432.878906 1774901863.3345
MEM 3863.695312 1774901863.4353
MEM 3560.398438 1774901863.5359
MEM 3560.398438 1774901863.6363
MEM 3560.398438 1774901863.7365
MEM 3560.398438 1774901863.8369
MEM 3560.398438 1774901863.9372
MEM 3560.398438 1774901864.0378
MEM 3560.398438 1774901864.1384
MEM 3560.398438 1774901864.2387
MEM 3252.269531 1774901864.3388
MEM 3560.398438 1774901864.4396
MEM 2990.925781 1774901864.5401
MEM 2979.039062 1774901864.6409
MEM 2994.511719 1774901864.7410
MEM 2996.382812 1774901864.8412
MEM 3079.582031 1774901864.9417
MEM 3117.070312 1774901865.0423
MEM 3360.832031 1774901865.1427
MEM 3336.320312 1774901865.2434
MEM 3336.320312 1774901865.3437
MEM 2849.101562 1774901865.4442
MEM 2538.019531 1774901865.5444
MEM 2640.015625 1774901865.6448
MEM 3154.058594 1774901865.7451
MEM 3467.332031 1774901865.8453
MEM 3467.332031 1774901865.9458
MEM 3039.144531 1774901866.0464
MEM 3180.500000 1774901866.1472
MEM 3311.300781 1774901866.2478
MEM 3452.855469 1774901866.3481
MEM 3598.175781 1774901866.4483
MEM 3757.843750 1774901866.5488
MEM 3903.257812 1774901866.6494
MEM 4116.312500 1774901866.7501
MEM 4405.746094 1774901866.8508
MEM 4619.804688 1774901866.9512
MEM 4903.937500 1774901867.0518
MEM 4865.859375 1774901867.1524
MEM 4793.132812 1774901867.2530
MEM 4902.593750 1774901867.3535
MEM 4902.593750 1774901867.4538
MEM 4902.593750 1774901867.5541
MEM 4902.593750 1774901867.6546
MEM 4902.593750 1774901867.7550
MEM 4902.593750 1774901867.8555
MEM 4902.593750 1774901867.9558
MEM 4902.593750 1774901868.0562
MEM 4902.593750 1774901868.1568
MEM 4902.593750 1774901868.2573
MEM 4902.593750 1774901868.3578
MEM 4902.593750 1774901868.4582
MEM 4810.796875 1774901868.5588
MEM 4902.593750 1774901868.6591
MEM 4443.875000 1774901868.7598
MEM 3733.703125 1774901868.8606
MEM 3916.125000 1774901868.9611
MEM 4200.250000 1774901869.0615
MEM 3780.652344 1774901869.1618
MEM 3918.101562 1774901869.2623
MEM 4011.187500 1774901869.3626
MEM 3903.304688 1774901869.4630
MEM 4050.820312 1774901869.5634
MEM 4236.609375 1774901869.6641
MEM 4328.394531 1774901869.7644
MEM 4374.203125 1774901869.8651
MEM 4374.203125 1774901869.9657
MEM 4374.203125 1774901870.0662
MEM 3866.164062 1774901870.1665
MEM 3197.148438 1774901870.2669
MEM 3197.148438 1774901870.3672
MEM 3487.703125 1774901870.4677
MEM 4075.140625 1774901870.5680
MEM 4537.605469 1774901870.6687
MEM 4998.992188 1774901870.7690
MEM 4999.082031 1774901870.8692
MEM 4999.082031 1774901870.9700
MEM 4122.109375 1774901871.0704
MEM 4284.492188 1774901871.1710
MEM 4447.398438 1774901871.2715
MEM 4618.738281 1774901871.3723
MEM 4787.605469 1774901871.4729
MEM 4952.648438 1774901871.5732
MEM 5112.105469 1774901871.6737
MEM 5266.824219 1774901871.7740
MEM 5429.515625 1774901871.8746
MEM 5602.957031 1774901871.9832
MEM 5750.003906 1774901872.0837
MEM 5907.363281 1774901872.1840
MEM 6173.839844 1774901872.2843
MEM 6532.671875 1774901872.3847
MEM 6859.121094 1774901872.4851
MEM 6999.531250 1774901872.5857
MEM 7277.093750 1774901872.6859
MEM 7564.656250 1774901872.7864
MEM 7930.464844 1774901872.8866
MEM 8463.902344 1774901872.9873
MEM 7664.117188 1774901873.0875
MEM 6976.414062 1774901873.1878
MEM 7360.726562 1774901873.2882
MEM 7762.753906 1774901873.3884
MEM 7762.753906 1774901873.4887
MEM 7762.753906 1774901873.5894
MEM 7762.753906 1774901873.6899
MEM 7762.753906 1774901873.7903
MEM 7762.753906 1774901873.8909
MEM 7762.753906 1774901874.0000
MEM 7762.753906 1774901874.1007
MEM 7762.753906 1774901874.2011
MEM 7762.753906 1774901874.3012
MEM 7762.753906 1774901874.4019
MEM 7762.753906 1774901874.5026
MEM 7762.753906 1774901874.6031
MEM 7762.753906 1774901874.7033
MEM 7762.753906 1774901874.8036
MEM 7762.753906 1774901874.9037
MEM 7762.753906 1774901875.0042
MEM 7762.753906 1774901875.1045
MEM 7762.753906 1774901875.2047
MEM 7762.753906 1774901875.3052
MEM 7762.753906 1774901875.4058
MEM 7762.753906 1774901875.5063
MEM 7762.753906 1774901875.6066
MEM 7762.753906 1774901875.7070
MEM 6914.523438 1774901875.8074
MEM 7422.085938 1774901875.9081
MEM 7762.753906 1774901876.0199
MEM 7762.753906 1774901876.1225
MEM 7762.753906 1774901876.2231
MEM 7762.753906 1774901876.3236
MEM 6220.003906 1774901876.4239
MEM 5270.476562 1774901876.5244
MEM 5733.339844 1774901876.6248
MEM 5900.636719 1774901876.7253
MEM 6210.074219 1774901876.8256
MEM 6485.574219 1774901876.9258
MEM 5666.816406 1774901877.0261
MEM 5666.816406 1774901877.1267
MEM 5904.289062 1774901877.2273
MEM 6142.699219 1774901877.3275
MEM 6142.699219 1774901877.4281
MEM 5907.562500 1774901877.5287
MEM 6059.945312 1774901877.6294
MEM 6213.937500 1774901877.7302
MEM 6359.468750 1774901877.8306
MEM 6566.687500 1774901877.9315
MEM 6817.980469 1774901878.0321
MEM 6695.949219 1774901878.1329
MEM 6907.355469 1774901878.2333
MEM 6907.355469 1774901878.3336
MEM 6907.355469 1774901878.4340
MEM 6907.355469 1774901878.5347
MEM 6907.355469 1774901878.6351
MEM 6907.355469 1774901878.7355
MEM 6907.355469 1774901878.8363
MEM 6408.054688 1774901878.9365
MEM 4634.917969 1774901879.0370
MEM 4586.464844 1774901879.1372
MEM 4960.890625 1774901879.2376
MEM 4961.328125 1774901879.3378
MEM 5317.843750 1774901879.4381
MEM 5666.695312 1774901879.5387
MEM 5378.089844 1774901879.6392
MEM 5702.542969 1774901879.7396
MEM 5899.824219 1774901879.8401
MEM 5709.859375 1774901879.9409
MEM 5886.058594 1774901880.0413
MEM 5640.472656 1774901880.1419
MEM 5469.136719 1774901880.2425
MEM 5818.621094 1774901880.3429
MEM 5528.699219 1774901880.4435
MEM 5827.472656 1774901880.5441
MEM 6161.121094 1774901880.6453
MEM 6304.425781 1774901880.7505
MEM 6406.308594 1774901880.8507
MEM 6481.699219 1774901880.9511
MEM 5583.523438 1774901881.0518
MEM 5819.003906 1774901881.1522
MEM 4949.816406 1774901881.2527
